time,low,high,open,close,volume
2021-03-15 06:00:00,1510.01,1551.44,1541.68,1518.62,2096.57882195
2021-03-15 07:00:00,1485.0,1523.85,1519.27,1507.96,3158.32730891
2021-03-15 08:00:00,1496.0,1518.82,1507.57,1501.87,1566.16839504
2021-03-15 09:00:00,1460.23,1506.72,1500.61,1484.99,4472.91817712
2021-03-15 10:00:00,1479.11,1498.44,1484.69,1494.84,3272.11771356
2021-03-15 11:00:00,1481.5,1497.87,1494.84,1485.42,1526.09989011
2021-03-15 12:00:00,1464.38,1493.25,1485.42,1492.43,2098.94940543
2021-03-15 13:00:00,1489.93,1506.73,1492.59,1502.09,1454.83096735
2021-03-15 14:00:00,1490.29,1520.44,1501.51,1493.43,1592.08384657
2021-03-15 15:00:00,1482.6,1500.71,1490.29,1482.95,834.14462796
2021-03-15 16:00:00,1472.61,1496.0,1482.5,1485.25,3351.65234343
2021-03-15 17:00:00,1472.01,1490.83,1485.35,1485.42,2164.92171271
2021-03-15 18:00:00,1480.62,1500.83,1487.28,1498.7,506.11876428
2021-03-15 19:00:00,1497.0,1506.8,1498.99,1499.47,505.96193934
2021-03-15 20:00:00,1492.82,1515.75,1498.4,1503.3,799.36925277
2021-03-15 21:00:00,1500.11,1513.07,1503.29,1508.68,380.85808179
2021-03-15 22:00:00,1493.52,1513.03,1507.86,1500.78,614.51003637
2021-03-15 23:00:00,1497.38,1517.88,1499.81,1505.43,584.10137518
2021-03-16 00:00:00,1453.13,1514.62,1505.96,1455.0,2121.66255374
2021-03-16 01:00:00,1439.1,1474.43,1453.12,1468.75,1597.93946483
2021-03-16 02:00:00,1463.36,1476.15,1468.77,1470.28,349.4209262
2021-03-16 03:00:00,1456.9,1472.22,1471.42,1466.31,116.8766401
2021-03-16 04:00:00,1463.55,1476.38,1465.83,1469.27,342.80217529
2021-03-16 05:00:00,1457.43,1475.28,1469.27,1468.02,596.75171358
2021-03-16 06:00:00,1458.58,1505.92,1469.14,1505.92,892.30728296
2021-03-16 07:00:00,1500.71,1515.12,1505.92,1511.8,1557.06363576
2021-03-16 08:00:00,1509.44,1528.0,1511.24,1513.98,1459.80780808
2021-03-16 09:00:00,1510.28,1525.0,1514.09,1516.56,605.70544803
2021-03-16 10:00:00,1499.79,1518.74,1516.91,1504.46,1349.26067341
2021-03-16 11:00:00,1491.04,1508.24,1504.0,1500.52,1311.07298311
2021-03-16 12:00:00,1477.51,1504.18,1500.15,1490.48,1670.19777049
2021-03-16 13:00:00,1487.21,1504.88,1488.73,1499.99,571.53209083
2021-03-16 14:00:00,1494.09,1508.12,1499.17,1507.98,523.33884724
2021-03-16 15:00:00,1506.63,1519.18,1507.25,1515.2,804.88866246
2021-03-16 16:00:00,1509.34,1523.99,1516.24,1513.73,632.58888651
2021-03-16 17:00:00,1478.82,1518.03,1513.8,1488.25,2255.14486352
2021-03-16 18:00:00,1483.41,1497.15,1488.31,1492.45,680.65807807
2021-03-16 19:00:00,1487.6,1502.12,1492.41,1499.12,331.41804099
2021-03-16 20:00:00,1497.0,1511.6,1499.12,1509.7,631.13595782
2021-03-16 21:00:00,1501.24,1513.12,1509.98,1501.26,564.19524957
2021-03-16 22:00:00,1496.9,1512.12,1501.96,1501.95,331.75374888
2021-03-16 23:00:00,1498.22,1518.51,1501.95,1516.85,273.70545302
2021-03-17 00:00:00,1488.55,1522.0,1516.87,1499.25,722.65133984
2021-03-17 01:00:00,1492.23,1501.79,1499.1,1500.34,174.46260066
2021-03-17 02:00:00,1485.7,1501.73,1499.91,1491.95,346.72109321
2021-03-17 03:00:00,1480.0,1493.95,1491.6,1483.93,453.02573548
2021-03-17 04:00:00,1482.6,1493.47,1482.68,1487.31,122.30801293
2021-03-17 05:00:00,1482.93,1497.73,1487.64,1496.64,277.31759898
2021-03-17 06:00:00,1491.41,1502.02,1496.41,1500.2,546.85648515
2021-03-17 07:00:00,1494.58,1503.7,1499.85,1503.5,532.57355013
2021-03-17 08:00:00,1495.0,1510.0,1502.95,1497.3,710.58652747
2021-03-17 09:00:00,1473.45,1499.98,1496.29,1477.33,2230.84244424
2021-03-17 10:00:00,1474.2,1487.39,1477.32,1485.94,1967.99154963
2021-03-17 11:00:00,1477.0,1487.42,1486.1,1481.17,513.83642738
2021-03-17 12:00:00,1466.36,1488.06,1480.38,1484.16,804.26219782
2021-03-17 13:00:00,1480.06,1492.8,1484.16,1487.43,634.39990912
2021-03-17 14:00:00,1480.48,1495.0,1487.43,1485.8,478.90329505
2021-03-17 15:00:00,1478.62,1494.02,1486.37,1491.26,674.86672042
2021-03-17 16:00:00,1486.94,1507.0,1490.94,1501.56,973.56828926
2021-03-17 17:00:00,1498.93,1507.2,1500.66,1502.42,429.68119875
2021-03-17 18:00:00,1502.6,1523.9,1503.29,1519.26,1724.10781355
2021-03-17 19:00:00,1518.63,1535.05,1520.0,1525.5,1262.41193638
2021-03-17 20:00:00,1513.51,1535.0,1525.61,1515.75,685.55054037
2021-03-17 21:00:00,1510.23,1525.93,1515.76,1520.65,591.63332017
2021-03-17 22:00:00,1513.03,1524.9,1520.37,1515.13,380.47281253
2021-03-17 23:00:00,1510.2,1523.31,1515.65,1522.02,372.88171707
2021-03-18 00:00:00,1510.11,1533.33,1521.44,1517.14,597.9157907
2021-03-18 01:00:00,1515.99,1529.11,1515.99,1526.85,254.48174462
2021-03-18 02:00:00,1528.27,1544.0,1529.11,1536.66,840.30045605
2021-03-18 03:00:00,1527.82,1541.05,1537.0,1532.38,96.86483251
2021-03-18 04:00:00,1525.84,1540.29,1531.91,1529.43,360.2518623
2021-03-18 05:00:00,1525.03,1532.3,1528.99,1528.59,347.89341867
2021-03-18 06:00:00,1519.23,1530.07,1528.6,1526.29,259.19439346
2021-03-18 07:00:00,1514.48,1526.35,1526.3,1519.3,446.0894205
2021-03-18 08:00:00,1511.1,1525.01,1519.31,1511.78,432.4200701
2021-03-18 09:00:00,1510.22,1522.11,1511.1,1518.82,464.3793165
2021-03-18 10:00:00,1516.31,1525.0,1518.51,1523.93,407.4430565
2021-03-18 11:00:00,1502.0,1523.69,1523.69,1508.49,986.00587934
2021-03-18 12:00:00,1493.2,1509.77,1508.43,1507.36,687.8394441
2021-03-18 13:00:00,1501.1,1512.35,1506.98,1501.1,414.8198789
2021-03-18 14:00:00,1496.09,1510.0,1501.1,1503.31,991.99130103
2021-03-18 15:00:00,1498.97,1531.98,1502.73,1525.83,2098.90232549
2021-03-18 16:00:00,1517.1,1535.0,1525.83,1517.91,1520.08437327
2021-03-18 17:00:00,1517.09,1527.75,1517.9,1522.69,1037.21981542
2021-03-18 18:00:00,1502.02,1528.69,1522.69,1505.69,739.53060553
2021-03-18 19:00:00,1479.29,1509.89,1505.89,1487.4,1540.27814913
